r_strength,r_range,a_strength,a_range,c
30,2.0,20,2.4,6.2
30,2.0,20,2.4,6.3
30,2.0,20,2.4,6.4
30,2.0,20,2.4,6.5
30,2.0,20,2.4,6.6
30,2.0,20,2.4,6.7
30,2.0,20,2.4,6.8
30,2.0,20,2.4,6.9
30,2.0,20,2.4,7.0
30,2.0,20,2.4,7.1
30,2.0,20,2.4,7.2
30,2.0,20,2.4,7.3
30,2.0,20,2.4,7.4
30,2.0,20,2.4,7.5
30,2.0,20,2.4,7.6
30,2.0,20,2.4,7.7
30,2.0,20,2.4,7.8
30,2.0,20,2.4,7.9
30,2.0,20,2.4,8.0
30,2.0,20,2.4,8.1
30,2.0,20,2.4,8.2
30,2.0,20,2.4,8.3
30,2.0,20,2.4,8.4
30,2.0,20,2.4,8.5
30,2.0,20,2.4,8.6
30,2.0,20,2.4,8.7
30,2.0,20,2.4,8.8
30,2.0,20,2.4,8.9
30,2.0,20,2.4,9.0
30,2.0,20,2.4,9.1
30,2.0,20,2.4,9.2
30,2.0,20,2.4,9.3
30,2.0,20,2.4,9.4
30,2.0,20,2.4,9.5
30,2.0,20,2.4,9.6
30,2.0,20,2.4,9.7
30,2.0,20,2.4,9.8
30,2.0,20,2.4,9.9
30,2.0,20,2.4,10.0
30,2.0,20,2.4,10.1
30,2.0,20,2.4,10.2
30,2.0,20,2.4,10.3
30,2.0,20,2.4,10.4
30,2.0,20,2.4,10.5
30,2.0,20,2.4,10.6
30,2.0,20,2.4,10.7
30,2.0,20,2.4,10.8
30,2.0,20,2.4,10.9
30,2.0,20,2.4,11.0
30,2.0,20,2.4,11.1
30,2.0,20,2.4,11.2
30,2.0,20,2.4,11.3
30,2.0,20,2.4,11.4
30,2.0,20,2.4,11.5
30,2.0,20,2.4,11.6
30,2.0,20,2.4,11.7
30,2.0,20,2.4,11.8
30,2.0,20,2.4,11.9
30,2.0,20,2.4,12.0
30,2.0,20,2.4,12.1
30,2.0,20,2.4,12.2
30,2.0,20,2.4,12.3
30,2.0,20,2.4,12.4
30,2.0,20,2.4,12.5
30,2.0,20,2.4,12.6
30,2.0,20,2.4,12.7
30,2.0,20,2.4,12.8
30,2.0,20,2.4,12.9
30,2.0,20,2.4,13.0
30,2.0,20,2.4,13.1
30,2.0,20,2.4,13.2
30,2.0,20,2.4,13.3
30,2.0,20,2.4,13.4
30,2.0,20,2.4,13.5
30,2.0,20,2.4,13.6
30,2.0,20,2.4,13.7
30,2.0,20,2.4,13.8
30,2.0,20,2.4,13.9
30,2.0,20,2.4,14.0
30,2.0,20,2.4,14.1
30,2.0,20,2.4,14.2
30,2.0,20,2.4,14.3
30,2.0,20,2.4,14.4
30,2.0,20,2.4,14.5
30,2.0,20,2.4,14.6
30,2.0,20,2.4,14.7
30,2.0,20,2.4,14.8
30,2.0,20,2.4,14.9
30,2.0,20,2.4,15.0
30,2.0,20,2.4,15.1
30,2.0,20,2.4,15.2
30,2.0,20,2.4,15.3
30,2.0,20,2.4,15.4
30,2.0,20,2.4,15.5
30,2.0,20,2.4,15.6
30,2.0,20,2.4,15.7
30,2.0,20,2.4,15.8
30,2.0,20,2.4,15.9
30,2.0,20,2.4,16.0
30,2.0,20,2.4,16.1
30,2.0,20,2.4,16.2
30,2.0,20,2.4,16.3
30,2.0,20,2.4,16.4
30,2.0,20,2.4,16.5
30,2.0,20,2.4,16.6
30,2.0,20,2.4,16.7
30,2.0,20,2.4,16.8
30,2.0,20,2.4,16.9
30,2.0,20,2.4,17.0
30,2.0,20,2.4,17.1
30,2.0,20,2.4,17.2
30,2.0,20,2.4,17.3
30,2.0,20,2.4,17.4
30,2.0,20,2.4,17.5
30,2.0,20,2.4,17.6
30,2.0,20,2.4,17.7
30,2.0,20,2.4,17.8
30,2.0,20,2.4,17.9
30,2.0,20,2.4,18.0
30,2.0,20,2.4,18.1
30,2.0,20,2.4,18.2
30,2.0,20,2.4,18.3
30,2.0,20,2.4,18.4
30,2.0,20,2.4,18.5
30,2.0,20,2.4,18.6
30,2.0,20,2.4,18.7
30,2.0,20,2.4,18.8
30,2.0,20,2.4,18.9
30,2.0,20,2.4,19.0
30,2.0,20,2.4,19.1
30,2.0,20,2.4,19.2
30,2.0,20,2.4,19.3
30,2.0,20,2.4,19.4
30,2.0,20,2.4,19.5
30,2.0,20,2.4,19.6
30,2.0,20,2.4,19.7
30,2.0,20,2.4,19.8
30,2.0,20,2.4,19.9
