v,re,s,ra,a_s
1.4,0.4,3.6,0.6,0.2710881987985549
1.4,0.6,3.0,1.2,0.2625448973034261
1.4,2.0,1.0,1.2,0.235873732627029
1.4,0.2,2.2,1.4,0.2754963218911356
1.6,1.4,3.0,1.6,0.21249480430252046
1.6,1.6,2.4,1.0,0.2694140835343905
1.4,0.2,4.0,0.2,0.27763168676516115
1.4,1.0,3.8,0.8,0.252054414762774
1.4,0.4,2.6,0.2,0.27794124977895146
1.4,2.0,2.0,0.2,0.26596832800332004
1.4,0.2,4.0,1.6,0.2748997611474311
1.4,0.6,2.2,1.0,0.2639131476791912
1.6,2.0,4.0,0.8,0.2622905308355064
1.4,0.2,2.4,0.2,0.2801350089888285
1.6,2.0,3.2,1.2,0.25995016513144226
1.4,1.0,2.2,0.6,0.2566412140575682
1.4,0.2,2.2,1.8,0.2751624179236073
1.4,0.8,1.2,2.0,0.2600628842990345
1.4,0.2,2.2,0.4,0.2778859242194347
1.4,1.8,1.4,0.6,0.24322730071057985
1.4,1.2,2.0,0.4,0.2618699078709987
1.6,0.4,1.0,1.0,0.3608357109778264
1.6,0.4,2.8,2.0,0.35518094088807245
1.6,0.8,2.8,0.4,0.3495190393933496
1.6,0.2,1.8,0.8,0.3646300734868833
1.8,2.0,3.0,1.0,0.3388986758435379
1.6,0.2,3.2,1.6,0.36223537567813213
1.6,0.8,3.6,1.0,0.3435464921804485
1.6,0.8,2.0,0.4,0.3550730820728208
1.6,0.8,1.4,0.2,0.3687103363050394
1.6,0.6,3.6,1.8,0.34784618871018325
1.6,0.8,2.8,1.2,0.34351852060219906
1.6,0.4,3.4,0.8,0.356846235618966
1.6,1.8,1.6,0.8,0.32684540401516543
1.6,1.0,2.2,0.8,0.3423185946300585
1.6,0.4,1.8,1.0,0.3578110993183841
1.6,0.4,4.0,0.6,0.3582575868689791
1.6,1.6,3.2,0.2,0.3565195505384884
1.6,2.0,1.6,0.8,0.3235469421243409
1.6,1.8,3.2,0.2,0.35677420038028657
1.6,1.0,3.0,1.0,0.3379768802856524
1.8,1.6,3.8,1.6,0.340951003736315
1.6,2.0,4.0,0.6,0.3226543586304169
1.6,1.4,3.6,0.2,0.35745507330084275
1.6,1.6,1.4,0.8,0.3314593485852497
1.8,1.6,3.2,2.0,0.3425350994809439
1.6,1.6,3.0,0.4,0.33321910860000964
1.8,1.8,3.8,1.8,0.3374454729811913
1.6,1.8,2.8,0.6,0.3275895046173683
1.6,0.8,1.6,1.8,0.3467155458636897
1.6,0.4,1.6,1.4,0.3561810836924815
1.6,0.8,3.0,1.4,0.3433327982448502
1.6,0.8,1.6,1.8,0.3467155458636897
1.6,0.6,1.0,0.2,0.3645554688064727
1.6,1.0,1.2,0.8,0.3447519397841574
1.6,1.8,1.0,0.4,0.3494304861605634
1.6,0.4,3.4,1.4,0.3559591701874167
1.6,1.0,1.6,1.8,0.3413644788358331
1.6,0.4,2.4,1.0,0.3565425781066479
1.6,0.6,1.6,1.0,0.3530137940412161
1.6,1.0,1.6,0.4,0.3530047908584163
1.6,1.6,1.4,1.2,0.3306530305432973
1.6,2.0,4.0,1.8,0.3102613652117786
1.6,1.0,3.6,1.2,0.3374592708784389
1.6,1.4,1.8,1.2,0.33300256881523754
1.6,0.8,2.2,1.0,0.34446247327479523
1.6,1.0,2.4,1.8,0.336824123761921
1.6,1.2,2.4,1.2,0.3307545291289439
1.6,0.8,1.8,0.2,0.3704077531223717
2.0,2.0,3.6,1.0,0.3398283658280859
1.6,1.6,1.2,0.4,0.34794045456163925
1.6,1.6,1.8,0.8,0.3311532448133352
2.0,1.6,4.0,1.8,0.34419256881371496
1.6,2.0,2.0,0.2,0.3524575575470224
1.6,1.6,1.0,0.4,0.3534279138937487
1.6,0.6,1.4,0.8,0.3549891274401587
1.6,1.4,1.0,0.2,0.3549673423194058
1.6,1.2,1.6,0.6,0.340884389648639
1.6,0.8,1.6,0.8,0.34861644357971755
2.0,1.8,2.8,1.4,0.3409167131634881
1.6,0.8,1.4,0.2,0.3687103363050394
2.0,1.6,2.4,1.4,0.34861003430039883
1.6,0.6,1.8,0.6,0.3546755392008413
1.6,0.4,3.8,1.8,0.3545947763257665
1.6,0.4,1.4,0.2,0.3664023323761915
1.6,1.6,2.6,0.4,0.3346301165876621
1.6,1.0,3.6,1.4,0.33695421407442544
1.6,0.6,3.2,1.8,0.34805292758448164
2.0,1.8,3.2,1.4,0.3402748745371305
1.6,0.4,1.0,1.0,0.3608357109778264
1.6,2.0,1.0,1.6,0.3245120539664802
1.6,0.8,1.8,1.4,0.3470086104662449
1.6,1.0,2.8,1.0,0.3378583753253078
1.6,0.6,2.8,2.0,0.3481217470351268
2.0,1.8,4.0,1.6,0.3394485813497372
