v,re,s,ra,c_d
2.0,0.4,1.0,1.8,0.2712811088088594
1.4,1.4,3.4,0.8,0.2987343539410179
2.6,0.6,1.8,1.0,0.21993446489287746
1.0,1.4,2.2,0.8,0.2314745942294665
3.0,1.4,2.0,1.0,0.2623863741236049
2.2,1.6,2.8,0.8,0.2581002269278406
3.0,0.4,1.4,1.4,0.2332343646446781
1.4,1.6,1.4,1.0,0.2203750236287646
2.6,1.2,3.6,0.8,0.2846177437792584
1.0,0.4,2.8,0.8,0.2514337030819791
3.0,0.2,1.2,2.0,0.23068510628898764
2.2,0.2,2.2,1.2,0.2687643624776307
1.2,1.0,2.0,1.0,0.2863338996558184
1.2,0.2,1.8,1.4,0.32939589832581645
1.4,0.2,3.2,1.2,0.3872660507461697
1.2,1.4,4.0,0.8,0.31780814324362616
2.6,1.0,1.2,1.6,0.3122671913987776
1.4,1.0,3.6,0.8,0.3014860405890059
1.6,1.2,4.0,0.8,0.30201776485968584
3.0,0.4,3.8,1.2,0.3970127137829063
2.8,2.0,3.0,1.0,0.3324190828623335
3.0,1.4,1.6,1.6,0.39646641059160137
3.0,0.4,1.2,2.0,0.30240456074731303
1.4,0.2,1.6,1.8,0.3730194536170683
2.6,1.6,2.6,1.2,0.3946616822086092
1.6,0.6,3.6,1.0,0.3807218954266666
1.0,1.6,2.8,1.0,0.35949983253066586
2.8,0.4,3.6,1.2,0.3935014998505228
3.0,1.2,2.8,1.0,0.3196309888694732
1.8,1.4,1.8,1.2,0.33546368106555124
2.2,1.8,2.0,1.2,0.3578964742110109
2.0,0.4,2.8,1.0,0.30177771013762106
2.4,1.0,1.2,1.8,0.3656991114153612
2.2,1.6,2.6,1.2,0.3656612193353447
1.2,1.2,1.0,1.6,0.3070948175947471
2.4,1.2,1.8,1.4,0.38144710503478935
2.6,1.2,1.6,1.4,0.34503918426159463
2.2,1.8,2.4,1.0,0.32025736470962085
2.0,2.0,3.6,1.0,0.372494439602106
2.4,1.8,1.0,2.0,0.3823102159812076
1.8,1.8,2.2,1.2,0.3700339014770995
1.4,0.2,2.8,1.2,0.3586923579684671
1.6,0.4,2.8,1.0,0.3156372755221889
3.0,1.6,2.4,1.0,0.3013510139894278
1.6,1.0,1.4,1.4,0.33024050519711234
1.0,1.2,1.6,1.2,0.3187084807619238
2.2,1.6,1.8,1.4,0.3994185438391583
2.4,0.2,2.8,1.4,0.35741806465775755
2.0,0.2,2.6,1.4,0.3638053146545885
3.0,1.8,3.6,1.0,0.3743486657184141
2.6,0.8,3.8,1.0,0.3736654170701281
1.4,0.4,1.2,1.8,0.3520114969786599
2.0,0.8,4.0,0.8,0.301015184881279
1.8,1.6,2.2,1.0,0.3082620466064779
2.2,1.0,1.4,1.6,0.3672590505203988
2.2,1.6,1.4,1.6,0.3878692474751315
2.6,1.8,1.4,1.6,0.3822434828593975
1.2,1.2,3.4,1.0,0.3850268379042555
2.4,1.6,2.8,1.0,0.3452228552352927
2.4,1.6,2.8,1.0,0.3452228552352927
1.8,1.8,1.6,1.4,0.3783026054165271
2.0,2.0,3.8,1.0,0.3839925259566392
2.2,0.4,2.2,1.2,0.3141579221199905
1.8,0.4,2.4,1.2,0.3504201505005061
1.2,0.2,3.2,1.0,0.3263963366806002
1.0,0.6,3.8,0.8,0.3097400679070975
1.4,0.8,1.4,1.6,0.3857131226046989
1.4,0.8,1.6,1.4,0.3645523091620109
1.2,2.0,1.8,1.4,0.3967780944099598
2.4,2.0,1.0,2.0,0.3852131847315169
2.4,1.6,3.4,1.0,0.36297569716754335
1.0,0.4,2.0,1.2,0.3426858839005121
1.8,1.2,2.2,1.2,0.37818575182524333
3.0,1.6,2.4,1.0,0.3013510139894278
2.2,0.4,1.6,1.6,0.34712486031869244
1.0,1.0,2.0,1.2,0.36883314077562135
2.8,1.4,2.4,1.2,0.3811338105140539
1.4,1.6,3.8,0.8,0.30683261620612506
1.8,1.0,4.0,0.8,0.31143383502313177
2.8,0.8,1.4,1.6,0.33372218096676504
1.6,0.2,2.4,1.2,0.3152855058562845
2.4,1.6,2.2,1.2,0.37374419176696205
1.0,0.6,2.8,1.0,0.34891477470892696
1.0,0.6,2.0,1.2,0.3553563188465601
1.8,0.6,3.6,1.0,0.3737345436226072
3.0,1.4,2.0,1.2,0.32882230502545545
2.4,1.0,1.6,1.4,0.3410378269435629
2.8,0.4,1.6,1.6,0.3175365698044043
2.0,0.2,1.8,1.6,0.3230148474407605
2.0,1.8,3.8,1.0,0.3785812313120128
2.0,1.6,3.6,1.0,0.3825296794045441
2.0,0.2,1.8,2.0,0.3957563479580805
1.2,1.8,1.0,1.6,0.3169763826827458
3.0,1.4,2.0,1.2,0.32882230502545545
1.6,1.4,2.2,1.0,0.3055287163914571
2.2,0.6,2.6,1.2,0.3755056616889144
2.0,0.2,1.8,2.0,0.3957563479580805
2.4,0.2,3.6,1.2,0.3553643857850665
2.2,0.2,2.2,1.4,0.3135480891964603
2.4,0.6,2.4,1.2,0.3481997039761848
1.6,0.6,3.6,1.0,0.3807218954266666
2.4,1.0,1.8,1.4,0.3712686507329071
3.0,0.8,3.8,1.0,0.35536521976730523
2.8,0.4,3.0,1.2,0.35596684012766705
2.4,2.0,2.2,1.0,0.3018009971735997
1.6,1.4,1.0,1.6,0.30226104402509285
3.0,0.8,1.8,1.6,0.3926758837831356
1.2,1.0,1.0,1.6,0.30300520018271443
1.2,0.8,1.6,1.4,0.3724667722239005
2.4,2.0,1.2,1.8,0.3974978836210782
1.0,0.6,2.2,1.2,0.3790155659838465
1.2,0.4,1.8,1.2,0.31025110829970554
1.0,1.0,3.6,0.8,0.3096949816443056
1.2,1.8,3.8,1.0,0.422308613445501
2.4,0.4,3.6,1.2,0.41313882484191
2.6,1.6,1.4,1.8,0.43459053652456575
1.4,0.2,2.2,1.8,0.4622475775637059
2.8,0.8,2.4,1.4,0.41422070831124935
1.2,1.8,1.6,1.6,0.4436148485393579
1.8,2.0,3.2,1.2,0.4467244434560566
1.2,1.8,2.8,1.2,0.4335769041698617
2.4,1.4,2.2,1.4,0.4422943953750733
