v,re,s,ra,c_d
1.6,0.2,1.8,2.0,0.4280276120286817
2.0,1.2,1.2,2.0,0.4396187278965394
3.0,0.6,2.0,2.0,0.4996831311718014
3.0,1.2,3.6,1.2,0.4616662898834042
3.0,1.0,3.8,1.2,0.4605954824496864
2.4,0.4,3.0,1.4,0.4432599504110729
2.6,2.0,1.2,2.0,0.4381856307824224
1.8,1.8,2.2,1.4,0.44434650093973627
2.0,0.6,2.8,1.4,0.4775804552817177
2.6,2.0,2.0,1.6,0.4622078074335922
1.8,1.4,4.0,1.2,0.4798144375043944
2.6,0.2,3.4,1.8,0.4901745714259816
2.4,0.6,3.2,1.2,0.4154371068918389
2.2,1.0,2.8,1.2,0.4162928865876475
2.0,1.6,4.0,1.2,0.4802756021069602
1.2,1.8,2.6,1.2,0.41368039661903416
2.6,1.0,2.0,1.6,0.4550985160813972
1.4,1.0,2.2,1.4,0.4616033694467136
1.8,1.6,1.2,2.0,0.4603467084925602
1.0,1.2,1.4,1.6,0.41574701117944257
1.4,0.6,3.2,1.2,0.4542800068065934
1.6,1.6,2.0,1.6,0.4662114103597914
1.4,1.2,1.2,2.0,0.4608791021563221
2.0,0.2,3.2,1.6,0.4664820853844853
2.6,0.4,2.4,1.6,0.4353905678248319
1.8,1.8,2.6,1.4,0.4704804858077698
1.8,1.0,2.0,1.4,0.4189180427780431
2.6,0.6,3.4,1.2,0.4207590605980843
1.2,1.6,1.8,1.4,0.40562483372819097
1.2,1.0,2.2,1.6,0.5481382408404609
1.6,0.8,2.2,1.8,0.5910933267532715
3.0,0.4,3.8,1.6,0.5371909112840229
3.0,2.0,2.8,1.6,0.5493378948097574
2.6,1.0,2.2,1.8,0.5507331254809431
1.2,1.2,4.0,1.2,0.5235044222284861
3.0,2.0,3.8,1.4,0.5488990153830604
2.2,0.8,1.6,2.0,0.5030193011414019
1.8,1.4,1.4,2.0,0.5110808537816758
2.8,0.2,3.8,1.8,0.506579288335168
1.2,1.4,1.8,1.8,0.5429651991714893
1.4,0.2,2.8,2.0,0.5864813077621729
2.2,1.4,2.2,1.8,0.5955254034283362
1.0,0.4,1.6,2.0,0.5257998317531377
2.6,0.6,3.8,1.4,0.5289433358186579
3.0,1.8,3.4,1.4,0.5247180373303163
1.2,0.2,3.8,1.4,0.5127014099347578
1.8,1.2,2.2,1.6,0.5321086269844466
1.6,1.8,2.0,1.8,0.5452216077679728
2.6,2.0,2.0,1.8,0.5605042943107593
2.2,0.4,3.8,1.4,0.5147123518006474
2.8,1.0,2.0,1.8,0.5085990582045067
2.6,1.8,2.0,1.8,0.5484301820128621
3.0,1.8,3.0,1.6,0.5957456919683111
2.0,1.4,2.0,1.8,0.5707460609665534
1.2,1.4,3.2,1.4,0.5480058198329995
3.0,2.0,3.4,1.4,0.5161000101584224
2.4,0.8,2.8,1.6,0.5543199151010791
3.0,0.4,3.0,1.8,0.5303979321015054
2.8,1.4,2.4,1.8,0.5979057796869152
2.4,0.6,2.2,1.8,0.5169478813270589
2.6,1.8,3.4,1.4,0.5434308873212677
2.4,1.0,4.0,1.4,0.5935345866391972
2.0,0.8,2.8,1.6,0.5745523909373884
2.2,1.4,3.0,1.4,0.53317043593298
2.8,0.8,4.0,1.4,0.5582736301574559
1.4,0.8,2.0,1.8,0.5685123211287084
2.0,1.6,3.2,1.4,0.5105354008369789
2.4,0.6,1.8,2.0,0.5033352389877225
1.6,0.4,2.2,1.8,0.5296176627617136
2.6,1.6,1.6,2.0,0.5346541866085669
3.0,0.6,3.8,1.6,0.5860723453261578
2.0,0.6,3.2,1.4,0.5140866643216064
2.0,1.8,3.6,1.4,0.5537878848941234
1.2,0.6,2.8,1.4,0.5154285984568547
2.6,2.0,2.8,1.6,0.5977205931234001
1.2,0.4,4.0,1.4,0.5911629943816312
1.8,1.8,3.6,1.4,0.5927272071829187
3.0,1.6,1.8,2.0,0.5605946633198564
2.4,1.6,2.6,1.6,0.5721131124760331
2.2,0.4,3.8,1.6,0.5911564467054028
2.0,0.4,2.2,2.0,0.5557804030949228
1.2,2.0,4.0,1.2,0.5455953117607494
2.8,2.0,2.2,1.8,0.5911289796577701
2.0,1.0,3.8,1.4,0.5946616170812737
1.4,1.0,3.2,1.4,0.5680493964197793
1.8,0.2,4.0,1.6,0.5424548478098874
2.0,2.0,1.8,1.8,0.5150894157126883
